model,prompt_head,entropy,load_cv,load_entropy,oscillation,settling_time,state
Vanilla,Solve the Fibonacci sequence using dynam,1.445437371917069,0.0,0.0,0.0,0.0,equilibrium
Vanilla,"The derivative of beauty, mathematically",1.876802187692374,0.0,0.0,0.0,0.0,equilibrium
Vanilla,Write a Python function that captures th,1.1970307878218591,0.0,0.0,0.0,0.0,equilibrium
Vanilla,If consciousness were a recursive algori,2.0794751001521945,0.0,0.0,0.0,0.0,equilibrium
Vanilla,소수(素數)란 무엇인가. 그것은 고독처럼 오직 자기 자신으로만 나누어지는,1.3659042512532324,0.0,0.0,0.0,0.0,equilibrium
Nomadic_Blind,Solve the Fibonacci sequence using dynam,0.2438558829787171,0.0,-1.000000082690371e-10,0.0,40.0,equilibrium
Nomadic_Blind,"The derivative of beauty, mathematically",0.41289324826812485,0.412310562520535,1.3093197004200352,0.13157894736842105,1.2580645161290323,equilibrium
Nomadic_Blind,Write a Python function that captures th,0.2656967401824488,0.7623975340035457,1.2809822642400062,0.13157894736842105,2.0526315789473686,equilibrium
Nomadic_Blind,If consciousness were a recursive algori,0.3274494462718559,0.6344288769273116,1.5776866776880012,0.05263157894736842,1.5,hybrid
Nomadic_Blind,소수(素數)란 무엇인가. 그것은 고독처럼 오직 자기 자신으로만 나누어지는,0.05211412285496653,0.9499999999525,0.11690684893753106,0.02631578947368421,18.0,equilibrium
Nomadic_Full,Solve the Fibonacci sequence using dynam,0.5558558473479565,0.6566962767460979,1.3659050202505159,0.05263157894736842,2.9166666666666665,equilibrium
Nomadic_Full,"The derivative of beauty, mathematically",0.5851226684488211,0.40620192019117785,1.3124528897334302,0.23684210526315788,1.1818181818181819,equilibrium
Nomadic_Full,Write a Python function that captures th,0.7898253899942802,0.796868872405931,1.480097293051522,0.0,1.7727272727272727,equilibrium
Nomadic_Full,If consciousness were a recursive algori,0.6631439692000429,0.5099019512700457,1.8101102514676735,0.10526315789473684,1.4230769230769231,hybrid
Nomadic_Full,소수(素數)란 무엇인가. 그것은 고독처럼 오직 자기 자신으로만 나누어지는,0.09505529028298013,1.0700467278446302,0.8580520666052182,0.13157894736842105,2.4375,equilibrium
MoD,Solve the Fibonacci sequence using dynam,0.1339128852642637,0.5279678020089743,0.9363569124838214,0.2894736842105263,1.5,equilibrium
MoD,"The derivative of beauty, mathematically",0.6263802799399197,0.7407766194458945,0.8311846032483757,0.02631578947368421,2.6,equilibrium
MoD,Write a Python function that captures th,0.71416090709933,0.8923284148118127,0.7150512198325316,0.13157894736842105,2.7857142857142856,equilibrium
MoD,If consciousness were a recursive algori,0.6017665992590622,0.6373774391512946,0.9002560509685369,0.05263157894736842,3.0,equilibrium
MoD,소수(素數)란 무엇인가. 그것은 고독처럼 오직 자기 자신으로만 나누어지는,0.11374878906098537,0.7754031209053859,0.770111010213465,0.21052631578947367,2.1666666666666665,equilibrium
ECR,Solve the Fibonacci sequence using dynam,0.8424210361792575,0.6393355925153374,1.710918225952668,0.02631578947368421,1.5,hybrid
ECR,"The derivative of beauty, mathematically",1.3591985713392205,1.2051970790482254,1.6512351190640322,0.15789473684210525,1.4444444444444444,hybrid
ECR,Write a Python function that captures th,0.7414068743404642,1.1704699908963918,1.1408371322956146,0.05263157894736842,2.6,equilibrium
ECR,If consciousness were a recursive algori,1.3722155940078664,1.32664991587683,1.4643594667925597,0.07894736842105263,2.0526315789473686,equilibrium
ECR,소수(素數)란 무엇인가. 그것은 고독처럼 오직 자기 자신으로만 나누어지는,0.47736667012359246,0.6519202404224769,1.527563674137337,0.07894736842105263,1.3103448275862069,hybrid
Sigma_MoE,Solve the Fibonacci sequence using dynam,0.19177399110902682,0.8760707732434492,1.5647727657380235,0.2894736842105263,1.125,hybrid
Sigma_MoE,"The derivative of beauty, mathematically",0.5891194951464529,1.0677078249895895,1.6148472234099858,0.07894736842105263,1.7272727272727273,hybrid
Sigma_MoE,Write a Python function that captures th,0.7499676512209333,1.432654877974542,1.0875723760070852,0.18421052631578946,1.8571428571428572,equilibrium
Sigma_MoE,If consciousness were a recursive algori,0.7041361482269067,0.7176350046127209,1.4859356224264433,0.13157894736842105,1.3448275862068966,equilibrium
Sigma_MoE,소수(素數)란 무엇인가. 그것은 고독처럼 오직 자기 자신으로만 나누어지는,0.04611841923145574,0.8276472677795776,1.082583186464831,0.10526315789473684,1.173913043478261,equilibrium
BiLevel_MoE,Solve the Fibonacci sequence using dynam,0.3252814701631008,0.9611191392649703,0.6116510620019808,0.10526315789473684,3.25,equilibrium
BiLevel_MoE,"The derivative of beauty, mathematically",0.5663768761256813,1.0541584320363389,0.5354967952198819,0.13157894736842105,3.5454545454545454,equilibrium
BiLevel_MoE,Write a Python function that captures th,0.5759436432773614,1.0068515282045993,0.5757564554894752,0.10526315789473684,3.25,equilibrium
BiLevel_MoE,If consciousness were a recursive algori,0.48167858442881767,1.0960155107569474,0.5266811645899826,0.05263157894736842,6.5,equilibrium
BiLevel_MoE,소수(素數)란 무엇인가. 그것은 고독처럼 오직 자기 자신으로만 나누어지는,0.047931499787043155,1.2554879528548102,0.3141230255900314,0.02631578947368421,9.75,equilibrium
RoutingFree_MoE,Solve the Fibonacci sequence using dynam,0.5850166426878787,0.5533985903772819,2.245796628861965,0.0,1.1142857142857143,hybrid
RoutingFree_MoE,"The derivative of beauty, mathematically",1.8476233308203518,0.5916079781324792,2.304485780868323,0.05263157894736842,1.0833333333333333,hybrid
RoutingFree_MoE,Write a Python function that captures th,1.2308551580179483,0.5533985903772819,2.2404824155851006,0.05263157894736842,1.0833333333333333,hybrid
RoutingFree_MoE,If consciousness were a recursive algori,1.1895089056924917,0.5408326911708694,2.252438440876968,0.05263157894736842,1.054054054054054,hybrid
RoutingFree_MoE,소수(素數)란 무엇인가. 그것은 고독처럼 오직 자기 자신으로만 나누어지는,1.467775023606373,0.6010407638432792,2.219911695958838,0.02631578947368421,1.0833333333333333,hybrid
Nomadic_NoDx,Solve the Fibonacci sequence using dynam,0.23459452867316863,0.0,-1.000000082690371e-10,0.0,40.0,equilibrium
Nomadic_NoDx,"The derivative of beauty, mathematically",0.4918815914224778,0.412310562520535,1.3093197004200352,0.18421052631578946,1.2666666666666666,equilibrium
Nomadic_NoDx,Write a Python function that captures th,0.4004190589944006,1.1374313164655536,1.102903581187551,0.21052631578947367,1.8421052631578947,equilibrium
Nomadic_NoDx,If consciousness were a recursive algori,0.30841499253870236,0.7311065347276888,1.5395138610782966,0.13513513513513514,1.8421052631578947,hybrid
Nomadic_NoDx,소수(素數)란 무엇인가. 그것은 고독처럼 오직 자기 자신으로만 나누어지는,0.05211412285496653,0.9499999999525,0.11690684893753106,0.02631578947368421,18.0,equilibrium
Nomadic_NoEnv,Solve the Fibonacci sequence using dynam,0.18096515319244863,0.0,-1.000000082690371e-10,0.0,40.0,equilibrium
Nomadic_NoEnv,"The derivative of beauty, mathematically",0.33623788504006114,0.5147815069978718,1.2588473032026395,0.13157894736842105,1.5833333333333333,equilibrium
Nomadic_NoEnv,Write a Python function that captures th,0.32740351780201454,0.6041522986193134,1.185591776432719,0.13157894736842105,1.7727272727272727,equilibrium
Nomadic_NoEnv,If consciousness were a recursive algori,0.5061903866461348,0.6041522985891057,1.5845222895176463,0.13157894736842105,1.4782608695652173,hybrid
Nomadic_NoEnv,소수(素數)란 무엇인가. 그것은 고독처럼 오직 자기 자신으로만 나누어지는,0.4931589744359842,1.5062370329509271,0.7430039362341687,0.13157894736842105,2.769230769230769,equilibrium
Nomadic_NoErr,Solve the Fibonacci sequence using dynam,0.5016601477450745,0.905538513632634,1.735433770785304,0.07894736842105263,1.8333333333333333,hybrid
Nomadic_NoErr,"The derivative of beauty, mathematically",0.6956298610362068,0.4949747467810858,1.2708518742732084,0.13157894736842105,1.3928571428571428,equilibrium
Nomadic_NoErr,Write a Python function that captures th,0.7325049538728365,0.5852349954481959,1.6286983909106434,0.13157894736842105,1.8571428571428572,hybrid
Nomadic_NoErr,If consciousness were a recursive algori,0.5645642174899621,0.8609587677354604,1.6396284876388965,0.13157894736842105,1.6363636363636365,hybrid
